,Light1,Light2,Light3,Light4,Light5,Light6,Light7,Light8,Light9,Light10,Light11,Light12,Light13,Light14,Light15,Light16,Light17,Light18,Light19,Light20
Sensor1,0.10820473129949151,0.031044098415927823,0.0,0.0,0.2204053550073025,0.08498652702669504,0.0011150775225747583,0.0,0.0054114625776853975,0.0031683214210477635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sensor2,0.0038402221494774932,0.10820473129949151,0.0232971117520552,0.0,0.0061535787780255605,0.2204053550073025,0.057241990400017546,0.0011150775225747583,0.0,0.0054114625776853975,0.002494468274436003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sensor3,0.0,0.0034136687273580387,0.11474547434892905,0.026839357637740927,0.0,0.005228703980868894,0.22721644151817,0.07006887667985963,0.0,0.0,0.005573923470028116,0.002922228306745475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sensor4,0.007591289099868968,0.004116027636644248,0.0,0.0,0.2341228020892069,0.09805681426057365,0.001165005362944208,0.0,0.07548134627277663,0.023664188105536117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sensor5,0.001209247389011276,0.007591289099868968,0.0035060070223377465,0.0,0.006586547021332742,0.2341228020892069,0.06708773720957216,0.001165005362944208,0.003375629659039006,0.07548134627277663,0.017612597823533322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sensor6,0.0,0.001095944717985608,0.007855323047180982,0.0037853971732038447,0.0,0.005573923470028116,0.2430250428298743,0.08023838370879512,0.0,0.002922228306745475,0.08023838370879512,0.020177996021873618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sensor7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0054114625776853975,0.0031683214210477635,0.0,0.0,0.2341228020892069,0.09805681426057365,0.001165005362944208,0.0,0.07548134627277663,0.023664188105536117,0.0,0.0
Sensor8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0054114625776853975,0.002494468274436003,0.0,0.006586547021332742,0.2341228020892069,0.06708773720957216,0.001165005362944208,0.003375629659039006,0.07548134627277663,0.017612597823533322,0.0
Sensor9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005573923470028116,0.002922228306745475,0.0,0.005573923470028116,0.2430250428298743,0.08023838370879512,0.0,0.002922228306745475,0.08023838370879512,0.020177996021873618
Sensor10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0511633648609553,0.017390705816617745,0.0,0.0,0.24814935893589526,0.10820473129949151,0.0012017787001991614,0.0
Sensor11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0028343366036214014,0.0511633648609553,0.013614882927564579,0.0,0.0069101552875017735,0.24814935893589526,0.07405758986876813,0.0012017787001991614
Sensor12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002340170762671052,0.05440140843988724,0.015148188614244778,0.0,0.005831506415434463,0.258195867565922,0.09094183424346813
